tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom	ID
Parasaccharibacter	NA	Parasaccharibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH77
Roseomonas	NA	Roseomonas	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH233
Saccharibacter	NA	Saccharibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH616
Swingsia	NA	Swingsia	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH353
Azospirillum	NA	Azospirillum	Azospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH6
Rhodospirillum	NA	Rhodospirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH362
Wolbachia	NA	Wolbachia	Anaplasmataceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH106
Candidatus Lariskella	NA	Candidatus Lariskella	Candidatus Midichloriaceae	Rickettsiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH470
Aurantiacibacter	NA	Aurantiacibacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH425
Croceicoccus	NA	Croceicoccus	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH399
Erythrobacter	NA	Erythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH437
Porphyrobacter	NA	Porphyrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH402
Qipengyuania	NA	Qipengyuania	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH302
Tsuneonella	NA	Tsuneonella	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH452
Blastomonas	NA	Blastomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH415
Novosphingobium	NA	Novosphingobium	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH208
Rhizorhabdus	NA	Rhizorhabdus	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH408
Sphingomonas	NA	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH398
Sphingopyxis	NA	Sphingopyxis	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH407
Sphingosinithalassobacter	NA	Sphingosinithalassobacter	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH204
Sandaracinobacter	NA	Sandaracinobacter	Sphingosinicellaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH770
Sphingosinicella	NA	Sphingosinicella	Sphingosinicellaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH440
Zymomonas	NA	Zymomonas	Zymomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH339
Achromobacter	NA	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH231
Alcaligenes	NA	Alcaligenes	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH641
Bordetella	NA	Bordetella	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH280
Pigmentiphaga	NA	Pigmentiphaga	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH474
Burkholderiaceae	NA	Burkholderiaceae		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH663
Burkholderia	NA	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH270
Cupriavidus	NA	Cupriavidus	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH70
Lautropia	NA	Lautropia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH260
Limnobacter	NA	Limnobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH373
Paraburkholderia	NA	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH22
Polynucleobacter	NA	Polynucleobacter	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH601
Ralstonia	NA	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH29
Acidovorax	NA	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH661
Alicycliphilus	NA	Alicycliphilus	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH662
Comamonas	NA	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH328
Curvibacter	NA	Curvibacter	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH387
Delftia	NA	Delftia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH236
Hydrogenophaga	NA	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH39
Kinneretia	NA	Kinneretia	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH434
Limnohabitans	NA	Limnohabitans	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH340
Polaromonas	NA	Polaromonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH481
Rhodoferax	NA	Rhodoferax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH649
Serpentinimonas	NA	Serpentinimonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH189
Variovorax	NA	Variovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH316
Collimonas	NA	Collimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH639
Herbaspirillum	NA	Herbaspirillum	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH28
Herminiimonas	NA	Herminiimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH432
Janthinobacterium	NA	Janthinobacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH245
Duganella	NA	Duganella	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH325
Massilia	NA	Massilia	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH246
Undibacterium	NA	Undibacterium	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH382
Inhella	NA	Inhella	Sphaerotilaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH426
Mitsuaria	NA	Mitsuaria	Sphaerotilaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH433
Schlegelella	NA	Schlegelella	Sphaerotilaceae	Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH337
Aquabacterium	NA	Aquabacterium		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH401
Leptothrix	NA	Leptothrix		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH642
Tepidimonas	NA	Tepidimonas		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH31
Thiomonas	NA	Thiomonas		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH439
Xylophilus	NA	Xylophilus		Burkholderiales	Betaproteobacteria	Proteobacteria		Bacteria	TRH668
Laribacter	NA	Laribacter	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH635
Neisseriaceae	NA	Neisseriaceae		Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH14
Alysiella	NA	Alysiella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH710
Eikenella	NA	Eikenella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH613
Kingella	NA	Kingella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH288
Neisseria	NA	Neisseria	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH19
Simonsiella	NA	Simonsiella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH704
Snodgrassella	NA	Snodgrassella	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH3
Vitreoscilla	NA	Vitreoscilla	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria		Bacteria	TRH707
Methylophilus	NA	Methylophilus	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria	TRH391
Methylotenera	NA	Methylotenera	Methylophilaceae	Nitrosomonadales	Betaproteobacteria	Proteobacteria		Bacteria	TRH495
Dechloromonas	NA	Dechloromonas	Azonexaceae	Rhodocyclales	Betaproteobacteria	Proteobacteria		Bacteria	TRH404
Desulfobulbus	NA	Desulfobulbus	Desulfobulbaceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria		Bacteria	TRH685
Labilithrix	NA	Labilithrix	Labilitrichaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria	TRH629
Sandaracinus	NA	Sandaracinus	Sandaracinaceae	Myxococcales	Deltaproteobacteria	Proteobacteria		Bacteria	TRH483
Arcobacter	NA	Arcobacter	Arcobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria	TRH499
Campylobacter	NA	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria	TRH259
Aeromonas	NA	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH18
Zobellella	NA	Zobellella	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH681
Alteromonas	NA	Alteromonas	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH417
Thalassotalea	NA	Thalassotalea	Colwelliaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH620
Pseudoalteromonas	NA	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH219
Psychromonas	NA	Psychromonas	Psychromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH491
Parashewanella	NA	Parashewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH619
Shewanella	NA	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH86
Cardiobacterium	NA	Cardiobacterium	Cardiobacteriaceae	Cardiobacteriales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH289
Cellvibrio	NA	Cellvibrio	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH227
Microbulbifer	NA	Microbulbifer	Microbulbiferaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH96
Rheinheimera	NA	Rheinheimera	Chromatiaceae	Chromatiales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH26
Sodalis	NA	Sodalis	Bruguierivoracaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH459
Pragia	NA	Pragia	Budviciaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH600
Enterobacteriaceae	NA	Enterobacteriaceae		Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH117
Atlantibacter	NA	Atlantibacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH630
Buttiauxella	NA	Buttiauxella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH358
Candidatus Curculioniphilus	NA	Candidatus Curculioniphilus	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH518
Cedecea	NA	Cedecea	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH341
Citrobacter	NA	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH93
Cronobacter	NA	Cronobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH172
Enterobacter	NA	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH184
Escherichia	NA	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH7
Klebsiella	NA	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH88
Raoultella	NA	Raoultella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH376
Kluyvera	NA	Kluyvera	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH583
Kosakonia	NA	Kosakonia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH469
Leclercia	NA	Leclercia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH263
Lelliottia	NA	Lelliottia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH109
Phytobacter	NA	Phytobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH378
Plesiomonas	NA	Plesiomonas	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH699
Pluralibacter	NA	Pluralibacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH120
Salmonella	NA	Salmonella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria	TRH99
